FECHA;HORA_UTC;LATITUD (grados);LONGITUD (grados);PROFUNDIDAD (Km);MAGNITUD Ml;MAGNITUD Mw;DEPARTAMENTO;MUNICIPIO;# FASES;RMS (Seg);GAP (grados);ERROR LATITUD (Km);ERROR LONGITUD (Km);ERROR PROFUNDIDAD (Km);ESTADO
2011-04-26;17:42:57;9,594;-73,496;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.30;146;5,3;6,3;9,4;Revisado
2011-04-27;17:42:43;9,47;-73,366;0;2,5;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.70;267;23;18,5;25,3;Revisado
2011-05-02;17:41:15;9,532;-73,366;0;2,4;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.60;269;19,3;14,5;21,3;Revisado
2011-05-09;17:17:45;9,56;-73,42;0;2,3;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.30;344;10,3;28,2;35,3;Revisado
2011-05-14;17:47:27;9,595;-73,572;0;2;;CESAR;EL_PASO;6; 0.50;119;4,5;5,1;8,1;Revisado
2011-05-15;17:35:09;9,437;-73,537;10,5;2,1;;CESAR;CHIRIGUANA;5; 0.40;229;15,1;19,9;14,9;Revisado
2011-05-15;17:44:28;9,421;-73,554;6,1;2,4;;CESAR;CHIRIGUANA;8; 0.40;120;5,3;5,9;10,6;Revisado
2011-05-18;17:24:12;9,488;-73,526;0;1,7;;CESAR;CHIRIGUANA;5; 0.40;232;17,2;17,5;7;Revisado
2011-05-18;17:47:42;9,581;-73,48;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.70;238;20,8;18,9;23,7;Revisado
2011-05-19;16:36:16;9,676;-73,581;5,6;1,9;;CESAR;EL_PASO;6; 0.60;120;11,3;11;28,2;Revisado
2011-05-20;17:26:45;9,419;-73,381;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.60;234;24;26,4;15,6;Revisado
2011-05-20;17:43:56;9,484;-73,475;0;1,5;;CESAR;LA_JAGUA_DE_IBIRICO;4; 0.50;125;18,7;16,9;22,1;Revisado
2011-05-21;17:22:36;9,547;-73,351;0;2,2;;CESAR;LA_JAGUA_DE_IBIRICO;5; 0.80;130;5,2;7,5;12,2;Revisado
2011-05-22;17:32:07;9,57;-73,588;0;1,7;;CESAR;EL_PASO;5; 0.50;119;8,5;9,2;13,1;Revisado
2011-05-22;17:50:58;9,612;-73,494;1;1,7;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;123;4,9;6,5;11,1;Revisado
2011-05-22;17:56:44;9,536;-73,511;0;2,1;;CESAR;LA_JAGUA_DE_IBIRICO;6; 0.50;122;5,4;6,1;9,7;Revisado
